date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,has_basement,log_price,log_sqft_living,log_sqft_lot
18-07-2014,488000.0,3,2,3160,13603,2.0,0,0,3,8,3160,0,2003,0,98019,47.7443,-121.977,3050,9232,Sem Porão,13.098072734013513,8.058643712215618,9.518119146127086
25-03-2015,210490.0,3,1,990,8528,1.0,0,0,3,6,990,0,1966,0,98023,47.3066,-122.371,1228,8840,Sem Porão,12.257198175846119,6.898714534329988,9.05122740031911
16-07-2014,785000.0,4,2,2290,13416,2.0,0,0,4,9,2290,0,1981,0,98007,47.6194,-122.151,2680,13685,Sem Porão,13.573440270649085,7.736743682453495,9.504277838590472
28-04-2015,450000.0,3,1,1250,5963,1.0,0,0,4,7,1250,0,1953,0,98115,47.6796,-122.301,970,5100,Sem Porão,13.017005083966255,7.1316985104669115,8.69349667588463
11-03-2015,1350000.0,3,2,2753,65005,1.0,1,2,5,9,2165,588,1953,0,98070,47.4041,-122.451,2680,72513,Com Porão,14.115615891155079,7.9208096792886,11.08223485230999
16-09-2014,228000.0,3,1,1190,9199,1.0,0,0,3,7,1190,0,1955,0,98148,47.4258,-122.322,1190,9364,Sem Porão,12.337105293891872,7.0825485693553,9.126958763037132
17-02-2015,345000.0,5,2,3150,9134,1.0,0,0,4,8,1640,1510,1966,0,98056,47.4934,-122.189,1990,9133,Com Porão,12.75130259456002,8.055475141757274,9.119868468812108
31-12-2014,600000.0,3,1,1410,4080,1.0,0,0,4,7,1000,410,1950,0,98117,47.6808,-122.384,1410,4080,Com Porão,13.304686600863562,7.252053951852814,8.314097335405807
05-02-2015,585000.0,2,1,1980,8550,1.0,0,0,3,7,990,990,1981,0,98117,47.6989,-122.369,1480,6738,Com Porão,13.279368835614243,7.591357046698551,9.053803514155955
03-03-2015,920000.0,5,2,2730,6000,1.5,0,0,3,8,2130,600,1927,0,98105,47.6571,-122.281,2730,6000,Com Porão,13.732130035981154,7.912423121473705,8.699681400989514
12-05-2014,885000.0,4,2,2830,5000,2.0,0,0,3,9,2830,0,1995,0,98105,47.6597,-122.29,1950,5000,Sem Porão,13.69334405393293,7.9483852851118995,8.517393171418904
19-08-2014,292500.0,4,2,2250,4495,2.0,0,0,3,7,2250,0,2008,0,98042,47.3663,-122.114,2250,4500,Sem Porão,12.586223364451623,7.719129840906732,8.410943391573527
07-04-2015,301000.0,3,2,2420,4750,2.0,0,0,3,8,2420,0,2003,0,98042,47.3663,-122.122,2690,4750,Sem Porão,12.614868865984631,7.791935956938058,8.46611040118692
27-08-2014,951000.0,5,3,3250,14342,2.0,0,4,4,8,3250,0,1968,0,98008,47.588,-122.116,2960,11044,Sem Porão,13.765270393051685,8.086717920303906,9.571017297294214
23-02-2015,430000.0,4,3,1850,9976,2.0,0,0,3,8,1850,0,1991,0,98059,47.5059,-122.149,2270,8542,Sem Porão,12.971542813248437,7.523481312573497,9.208037722913508
10-12-2014,650000.0,3,2,2150,21235,1.0,0,3,4,8,1590,560,1959,0,98166,47.4336,-122.339,2570,18900,Com Porão,13.384729180332174,7.67368812926773,9.963453133703561
28-08-2014,289000.0,3,1,1260,8400,1.0,0,0,3,7,1260,0,1954,0,98148,47.4366,-122.335,1290,8750,Sem Porão,12.574185427296195,7.13966033596492,9.036106025364846
21-10-2014,505000.0,3,1,2519,8690,2.0,0,0,5,8,2519,0,1973,0,98166,47.4428,-122.344,2500,9500,Sem Porão,13.132315688453556,7.832014180505469,9.07004328643746
07-12-2014,549000.0,3,1,1540,1044,3.0,0,0,3,8,1540,0,2014,0,98115,47.6765,-122.32,1580,3090,Sem Porão,13.215855541983634,7.340186835320115,6.951772164398911
03-06-2014,425000.0,3,2,1660,6000,1.0,0,0,3,7,1110,550,1979,0,98122,47.6113,-122.297,1440,4080,Com Porão,12.959846800844963,7.415175109613295,8.699681400989514
20-11-2014,317625.0,3,2,2770,3809,1.5,0,0,5,7,1770,1000,1925,0,98144,47.5747,-122.304,1440,4000,Com Porão,12.668629868984294,7.9269635448629785,8.245384468120747
09-09-2014,975000.0,4,2,2720,11049,2.0,0,0,3,10,2720,0,1989,0,98004,47.5815,-122.192,2750,11049,Sem Porão,13.790193775620484,7.908754738783246,9.3101857069459
09-10-2014,287000.0,4,2,2240,4648,2.0,0,0,3,7,2240,0,2005,0,98001,47.3378,-122.257,2221,4557,Sem Porão,12.567240979056246,7.714677473800927,8.444407421690585
25-08-2014,204000.0,3,1,1000,12070,1.0,0,0,4,7,1000,0,1968,0,98042,47.3621,-122.11,1010,12635,Sem Porão,12.225880174775122,6.90875477931522,9.398561160701128
12-06-2014,1325000.0,5,2,3200,20158,1.0,0,0,3,8,1600,1600,1965,0,98004,47.6303,-122.215,3390,20158,Com Porão,14.096923772119156,8.071218539969863,9.911406117780423
12-09-2014,1040000.0,5,3,4770,50094,1.0,0,0,4,11,3070,1700,1973,0,98005,47.6525,-122.16,3530,38917,Com Porão,13.854732232655556,8.470311205516108,10.821676481693363
05-01-2015,325000.0,3,2,1260,5612,1.0,0,0,4,7,1260,0,1972,0,98034,47.7362,-122.179,1640,4745,Sem Porão,12.691583538230217,7.13966033596492,8.6328406149422
10-06-2014,571000.0,4,2,2750,7807,1.5,0,0,5,7,2250,500,1916,0,98125,47.7168,-122.287,1510,7807,Com Porão,13.255146239950099,7.919719760924575,8.962904128092928
10-07-2014,360000.0,4,2,2380,5000,2.0,0,0,3,8,2380,0,2005,0,98038,47.3608,-122.036,2420,5000,Sem Porão,12.793862088206213,7.7752758464868625,8.517393171418904
16-03-2015,349000.0,3,1,1790,50529,1.0,0,0,5,7,1090,700,1965,0,98042,47.3511,-122.073,1940,50529,Com Porão,12.762830066509972,7.490529402060711,10.830322498285954
05-11-2014,832500.0,4,4,3430,35102,2.0,0,0,4,10,2390,1040,1986,0,98075,47.5822,-121.987,3240,35020,Com Porão,13.632189702037216,8.14060704285845,10.466041875887068
13-10-2014,380000.0,4,1,1760,7300,1.0,0,0,3,7,880,880,1956,0,98008,47.6034,-122.125,1680,7500,Com Porão,12.847929163278053,7.473637108496206,8.895766604056085
20-04-2015,480000.0,3,1,1040,5060,1.0,0,0,3,7,1040,0,1941,0,98116,47.5636,-122.394,890,5060,Sem Porão,13.081543466215237,6.947937068614969,8.529319371214077
09-06-2014,410000.0,3,1,1410,5060,1.0,0,0,4,7,910,500,1956,0,98133,47.7073,-122.34,1130,5693,Com Porão,12.923914877701906,7.252053951852814,8.529319371214077
23-03-2015,720000.0,4,2,3450,39683,2.0,0,0,3,10,3450,0,2002,0,98010,47.342,-122.025,3350,39750,Sem Porão,13.487007879880162,8.146419323098003,10.588703362769794
02-12-2014,390000.0,3,2,2350,5100,2.0,0,0,3,8,2350,0,2003,0,98038,47.3512,-122.008,2350,5363,Sem Porão,12.873904582205107,7.762596048540069,8.537191877922927
22-12-2014,360000.0,4,2,1900,5889,2.0,0,0,3,7,1900,0,1992,0,98038,47.349,-122.031,1870,6405,Sem Porão,12.793862088206213,7.550135342488429,8.681011276645632
28-10-2014,355000.0,2,1,2020,6720,1.0,0,0,3,7,1010,1010,1948,0,98118,47.5474,-122.291,1720,6720,Com Porão,12.779875885354993,7.611347717403621,8.812992231969966
28-01-2015,356000.0,3,1,1680,8712,1.0,0,0,3,8,1680,0,1964,0,98059,47.4811,-122.149,1850,8797,Sem Porão,12.782688818818986,7.427144133408616,9.072571442231286
02-06-2014,315000.0,3,1,960,6634,1.0,0,0,3,6,960,0,1952,0,98125,47.7264,-122.31,1570,7203,Sem Porão,12.660331092405906,6.8679744089702925,8.800113946766308
14-11-2014,940000.0,3,1,2140,3600,2.0,0,0,3,9,1900,240,1925,0,98119,47.6337,-122.365,2020,4800,Com Porão,13.753636218075409,7.669028288589683,8.188966863648876
03-11-2014,305000.0,5,2,2660,8400,1.5,0,0,5,7,2660,0,1961,0,98092,47.2909,-122.189,1590,8165,Sem Porão,12.628070334272698,7.886457270977689,9.036106025364846
18-06-2014,461000.0,3,3,2770,6278,2.0,0,0,3,9,1980,790,2006,0,98056,47.5228,-122.199,1900,7349,Com Porão,13.04115549117383,7.9269635448629785,8.744966011114109
19-05-2014,215000.0,2,2,1610,2040,2.0,0,0,4,7,1610,0,1979,0,98056,47.518,-122.194,1950,2025,Sem Porão,12.278397958261774,7.384610383176974,7.621195162809845
04-09-2014,335000.0,2,1,1030,1066,2.0,0,0,3,7,765,265,2006,0,98136,47.5394,-122.387,1030,1106,Com Porão,12.721888795877375,6.93828448401696,6.9726062513017535
22-05-2014,243500.0,4,2,1980,7403,2.0,0,0,3,7,1980,0,1988,0,98023,47.2897,-122.372,1980,7510,Sem Porão,12.40287632827253,7.591357046698551,8.909775673693389
11-03-2015,1099880.0,5,2,3520,6353,2.0,0,0,4,10,3520,0,2001,0,98199,47.6506,-122.391,2520,6250,Sem Porão,13.910712550098342,8.166500319155052,8.756839814829462
26-02-2015,153000.0,3,1,1200,10500,1.0,0,0,3,7,1200,0,1962,0,98023,47.322,-122.351,1350,10500,Sem Porão,11.938199736300925,7.0909098220799835,9.259225769705994
25-07-2014,430000.0,3,1,1580,5000,1.0,0,0,3,8,1290,290,1939,0,98117,47.687,-122.386,1570,4500,Com Porão,12.971542813248437,7.365812837209472,8.517393171418904
23-12-2014,700000.0,3,1,1580,5000,1.0,0,0,3,8,1290,290,1939,0,98117,47.687,-122.386,1570,4500,Com Porão,13.45883704259595,7.365812837209472,8.517393171418904
08-09-2014,905000.0,4,2,3300,10250,1.0,0,0,3,7,2390,910,1946,1991,98040,47.5873,-122.249,1950,6045,Com Porão,13.715691327653829,8.101980731853192,9.235130540783402
30-03-2015,247500.0,3,1,1960,15681,1.0,0,0,3,7,1960,0,1967,0,98032,47.3576,-122.277,1750,15616,Sem Porão,12.419169901386761,7.581209826196346,9.660268836790868
12-09-2014,199000.0,4,1,1160,6400,1.0,0,0,4,7,1160,0,1975,0,98023,47.3036,-122.378,1160,6400,Sem Porão,12.201065128819632,7.057036981697891,8.764209507142004
11-07-2014,314000.0,3,1,1810,41800,1.0,0,0,5,7,1210,600,1980,0,98038,47.4109,-121.958,1650,135036,Com Porão,12.657151449598695,7.501634457883413,10.640675541671662
16-05-2014,437500.0,3,2,2320,36847,2.0,0,2,3,9,2320,0,1992,0,98045,47.4838,-121.714,2550,35065,Sem Porão,12.988834270491479,7.749753406274437,10.514556622060466
11-06-2014,850830.0,3,2,2070,13241,1.5,0,0,5,9,1270,800,1910,0,98102,47.6415,-122.315,2200,4500,Com Porão,13.653968797939685,7.635786861395585,9.491148875484791
27-10-2014,555000.0,3,2,1980,3478,1.5,0,0,4,7,1440,540,1929,0,98117,47.6775,-122.372,1610,3478,Com Porão,13.22672519452875,7.591357046698551,8.154500175151941
12-12-2014,699950.0,3,2,2190,107593,2.0,0,0,4,8,2190,0,1983,0,98077,47.7731,-122.08,2570,47777,Sem Porão,13.458765611575428,7.692113339595466,11.586120163073273
07-10-2014,1088000.0,3,2,2920,8113,2.0,0,0,3,8,2920,0,1950,2010,98004,47.5814,-122.196,2370,8113,Sem Porão,13.89985262551525,7.979681302387741,9.001346243766392
24-09-2014,290000.0,3,1,1210,33919,1.0,0,0,3,7,1210,0,1954,0,98058,47.4375,-122.184,1640,14910,Sem Porão,12.577639650232573,7.099201743553092,10.43176008990584
02-04-2015,375000.0,3,2,2340,10005,1.0,0,0,4,8,1460,880,1978,0,98058,47.4431,-122.133,2250,8162,Com Porão,12.834683971615659,7.75833346749091,9.21094019204815
23-05-2014,460000.0,3,1,1670,4005,1.5,0,0,4,7,1170,500,1939,0,98117,47.6878,-122.38,1240,4005,Com Porão,13.038983942375959,7.421177528595393,8.295548516225763
23-07-2014,188500.0,2,1,1240,2493,1.0,0,0,4,8,1240,0,1985,0,98198,47.3813,-122.322,1270,4966,Sem Porão,12.146858590895919,7.123672785204607,7.821643126239982
05-03-2015,680000.0,4,2,3140,28037,2.0,0,0,4,10,3140,0,1991,0,98077,47.7304,-122.082,2990,35001,Sem Porão,13.429849547739444,8.052296499538647,10.24131601192848
27-08-2014,470000.0,5,1,2030,12342,2.0,0,0,4,7,2030,0,1942,0,98052,47.6417,-122.109,2500,9433,Sem Porão,13.060490101343552,7.616283561580385,9.42084437974393
25-07-2014,597750.0,4,2,2310,9624,2.0,0,0,3,8,2310,0,1984,0,98027,47.5386,-122.053,1940,9636,Sem Porão,13.300929558259364,7.745435610274381,9.172119159155985
04-03-2015,570000.0,3,1,1260,3328,1.0,0,0,5,6,700,560,1905,0,98103,47.6823,-122.349,1380,3536,Com Porão,13.25339339419516,7.13966033596492,8.110427237575024
16-09-2014,272500.0,3,1,1540,12600,1.0,0,0,4,7,1160,380,1980,0,98038,47.3624,-122.031,1540,11656,Com Porão,12.515397562803473,7.340186835320115,9.441531454869693
24-11-2014,329950.0,3,1,2080,5969,1.0,0,2,3,7,1080,1000,1971,0,98108,47.5474,-122.295,2090,5500,Com Porão,12.706699437569211,7.640603826393634,8.694502206386648
28-10-2014,480000.0,4,2,3230,16171,2.0,0,3,3,9,2520,710,2001,0,98001,47.3183,-122.253,2640,8517,Com Porão,13.081543466215237,8.080546965824498,9.691036630760662
21-11-2014,740500.0,3,3,4380,6350,2.0,0,0,3,8,2780,1600,1900,1999,98117,47.6981,-122.368,1830,6350,Com Porão,13.51508226312797,8.385032287813898,8.756367559802975
26-06-2014,518500.0,3,3,1590,1102,3.0,0,0,3,8,1590,0,2010,0,98103,47.6824,-122.347,1620,3166,Sem Porão,13.158697235290168,7.372118028337787,7.005789019253503
23-06-2014,205425.0,2,1,880,6780,1.0,0,0,4,6,880,0,1945,0,98178,47.5009,-122.248,1190,6780,Sem Porão,12.232841150744216,6.78105762593618,8.821879862683842
08-01-2015,171800.0,4,2,1570,9600,1.0,0,0,3,6,1570,0,1950,0,98168,47.4965,-122.303,1880,9000,Sem Porão,12.054092109237121,7.359467638255621,9.169622538697624
11-05-2015,535000.0,4,1,1610,2982,1.5,0,0,4,7,1610,0,1925,0,98144,47.587,-122.294,1610,4040,Sem Porão,13.190023895035274,7.384610383176974,8.000684784514748
02-01-2015,660000.0,3,2,2400,6474,1.0,0,2,3,8,1560,840,1964,0,98177,47.7728,-122.386,2340,10856,Com Porão,13.399996629152975,7.783640596221253,8.775703886567738
19-11-2014,391500.0,3,2,1450,9132,1.0,0,0,3,7,1450,0,1987,0,98034,47.7288,-122.226,1580,9104,Sem Porão,12.87774334868815,7.280008252884188,9.11964950669168
06-04-2015,395000.0,2,1,770,6000,1.0,0,0,3,6,770,0,1953,0,98117,47.6999,-122.364,1710,6000,Sem Porão,12.886643575525625,6.647688373563329,8.699681400989514
04-11-2014,445000.0,4,1,2100,4400,1.5,0,0,5,7,1720,380,1924,0,98118,47.5299,-122.266,1850,4400,Com Porão,13.005831808336863,7.650168700845001,8.38958706681109
18-06-2014,770000.0,3,2,2910,10204,2.0,0,0,3,9,2910,0,1990,0,98052,47.6897,-122.098,2700,13992,Sem Porão,13.554147092530322,7.976251943745623,9.230633075243945
02-03-2015,1450000.0,4,2,2750,17789,1.5,0,0,3,8,1980,770,1914,1992,98004,47.6141,-122.212,3060,11275,Com Porão,14.187074804051692,7.919719760924575,9.786391780659882
17-07-2014,445000.0,3,2,2100,8201,1.0,0,2,3,8,1620,480,1967,0,98178,47.5091,-122.244,2660,8712,Com Porão,13.005831808336863,7.650168700845001,9.012133305952004
17-07-2014,260000.0,4,2,2160,8811,1.0,0,0,3,8,1360,800,1978,0,98023,47.3129,-122.39,2090,8400,Com Porão,12.468440756144114,7.6783263565068856,9.083869707922235
13-06-2014,822500.0,5,3,2320,4960,2.0,0,0,5,7,1720,600,1926,0,98103,47.6763,-122.352,1700,4960,Com Porão,13.620104977426395,7.749753406274437,8.509362612301048
06-04-2015,430000.0,4,2,2070,4310,2.0,0,0,3,7,2070,0,2004,0,98065,47.5319,-121.85,1970,3748,Sem Porão,12.971542813248437,7.635786861395585,8.368925174747135
05-01-2015,212000.0,3,1,1060,7875,1.0,0,0,4,7,1060,0,1986,0,98092,47.2761,-122.152,1420,7680,Sem Porão,12.264346270624157,6.966967138613983,8.971575439759016
28-04-2015,660500.0,4,2,2010,9603,1.0,0,0,3,8,1440,570,1986,0,98027,47.5343,-122.054,2060,9793,Com Porão,13.400753916947913,7.606387389772652,9.169934957341145
12-06-2014,784000.0,3,3,3950,111078,1.5,0,0,3,9,2460,1490,1989,0,98052,47.697,-122.072,2480,88500,Com Porão,13.572165574841936,8.281723990411392,11.617996938859507
12-05-2014,453246.0,3,2,2010,2287,2.0,0,0,3,8,1390,620,2014,0,98029,47.5517,-121.998,1690,1662,Com Porão,13.024192509731431,7.606387389772652,7.7354333524996886
26-01-2015,675000.0,4,3,2140,2278,3.0,0,0,3,9,2140,0,2005,0,98107,47.6734,-122.38,1540,2285,Sem Porão,13.42246945133505,7.669028288589683,7.731492029245684
13-08-2014,199000.0,3,1,1320,17390,1.0,0,0,4,7,1320,0,1956,0,98003,47.3257,-122.296,1550,19265,Sem Porão,12.201065128819632,7.186144304522325,9.763708110007842
05-08-2014,220000.0,4,1,2020,7840,1.0,0,0,3,7,1010,1010,1968,0,98003,47.3309,-122.299,1750,8140,Com Porão,12.301387370778713,7.611347717403621,8.967121656230923
29-05-2014,452000.0,4,2,2590,10002,1.0,0,0,4,8,1340,1250,1968,0,98028,47.7689,-122.266,1550,10436,Com Porão,13.021439671201302,7.85979918056211,9.21064032698518
07-07-2014,382500.0,2,1,1190,4440,1.0,0,0,3,6,1190,0,1981,0,98125,47.7135,-122.287,1060,5715,Sem Porão,12.854486546624395,7.0825485693553,8.398634855292102
07-05-2014,519950.0,3,2,1170,1249,3.0,0,0,3,8,1170,0,2014,0,98107,47.6722,-122.381,1350,1310,Sem Porão,13.161489855348382,7.065613363597717,7.1308988302963465
27-06-2014,665000.0,2,1,1110,3200,1.0,0,0,3,7,1110,0,1925,0,98119,47.6338,-122.358,1170,3600,Sem Porão,13.407543823396258,7.01301578963963,8.071218539969863
08-07-2014,527700.0,5,2,2820,9375,1.0,0,0,4,8,1550,1270,1968,0,98006,47.5707,-122.128,2820,9375,Com Porão,13.17628511440807,7.944846711001996,9.145908511816794
08-05-2015,205000.0,3,1,1610,8579,1.0,0,0,4,7,1010,600,1962,0,98058,47.4563,-122.171,1610,8579,Com Porão,12.230770136157428,7.384610383176974,9.057189192482008
15-04-2015,420000.0,3,1,1060,8097,1.0,0,0,4,7,940,120,1923,0,98133,47.7144,-122.351,1560,7940,Com Porão,12.948012371209098,6.966967138613983,8.999372396592106
27-02-2015,500000.0,4,2,2030,8517,1.0,0,0,4,8,1380,650,1961,0,98006,47.5495,-122.174,2230,8824,Com Porão,13.122365377402328,7.616283561580385,9.049936850483158
03-12-2014,921500.0,4,2,3670,315374,2.0,0,0,4,9,3670,0,1994,0,98077,47.7421,-122.026,2840,87991,Sem Porão,13.733759141278622,8.208219383496834,12.661517685943359
25-06-2014,890000.0,4,1,2550,4000,2.0,0,0,3,8,2370,180,1905,0,98109,47.6354,-122.353,2200,4000,Com Porão,13.698977865303197,7.844240718141811,8.294299608857235
